Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,ID Alternativa 2,Coordenadas Alternativa 2,ID Alternativa 3,Coordenadas Alternativa 3
Los Compadres de la Sierra [Rancho],"(31.51361, -116.27194)",BN7157,52.22 km,BN0437,"(31.32524, -116.24530)",BN4152,"(31.27322, -116.18453)",BN7001,"(31.58108, -116.42171)"
Sociedad Hermanos Uno,"(31.47778, -115.07000)",BN8355,60.28 km,BN4960,"(31.13035, -116.11377)",BN4152,"(31.27322, -116.18453)",BN0437,"(31.32524, -116.24530)"
San Gabriel,"(31.88160, -116.54694)",BN8329,30.94 km,BN0004,"(31.86205, -116.54579)",BN1982,"(31.90011, -116.55286)",BN4950,"(31.87597, -116.56407)"
Real del Castillo [AerÃ³dromo],"(31.86205, -116.54579)",BN0004,40.02 km,BN8329,"(31.88160, -116.54694)",BN1982,"(31.90011, -116.55286)",BN6495,"(31.62261, -116.45464)"
Ejido Guardianes de la Patria,"(32.15608, -115.27227)",BN0333,35.01 km,BN1815,"(32.29308, -115.29461)",BN0455,"(32.24827, -115.25492)",BN4408,"(32.44325, -115.37154)"
San Luis,"(32.50811, -116.08828)",BN0472,51.73 km,BN9023,"(32.55386, -116.02889)",BN2212,"(32.58018, -115.72578)",BN4070,"(32.53805, -115.58235)"
CaÃ±Ã³n de Guadalupe,"(32.53805, -115.58235)",BN4070,48.52 km,BN4078,"(32.52188, -116.06189)",BN0472,"(32.50811, -116.08828)",BN9023,"(32.55386, -116.02889)"
Los Laureles del Desierto,"(32.53805, -115.58235)",BN4070,36.50 km,BN3956,"(32.56698, -115.92931)",BN5753,"(32.60149, -115.65566)",BN1606,"(32.57692, -115.58819)"
Rancho Cedros,"(32.50811, -116.08828)",BN0472,50.74 km,BN3956,"(32.56698, -115.92931)",BN9023,"(32.55386, -116.02889)",BN2212,"(32.58018, -115.72578)"
La Esperanza [Rancho],"(32.15608, -115.27227)",BN0333,49.35 km,BN0375,"(32.33697, -115.33147)",BN1815,"(32.29308, -115.29461)",BN0455,"(32.24827, -115.25492)"
Abelardo L. RodrÃ­guez (Malvar),"(30.07775, -115.72728)",BN5758,41.05 km,BN0146,"(30.15282, -115.79011)",—,—,—,—
Calafia Dos,"(30.07775, -115.72728)",BN5758,58.67 km,BN0146,"(30.15282, -115.79011)",—,—,—,—
Campo Angelitos,"(28.00222, -114.01083)",BS4207,115.83 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",BS1170,"(27.64259, -113.44306)"
Campo Gecko,"(28.00222, -114.01083)",BS4207,113.41 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",BS1170,"(27.64259, -113.44306)"
Campo Raquel y Larry,"(28.00222, -114.01083)",BS4207,120.37 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",SO2684,"(29.90803, -112.68386)"
Campo del Monte,"(28.00222, -114.01083)",BS4207,52.75 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",—,—
Corral de Enmedio,"(30.07775, -115.72728)",BN5758,53.33 km,BN0146,"(30.15282, -115.79011)",BN4413,"(30.40335, -115.88834)",BN5762,"(30.44739, -115.88528)"
El Cardonal,"(28.00222, -114.01083)",BS4207,67.50 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",—,—
El CardÃ³n,"(28.00222, -114.01083)",BS4207,111.20 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",—,—
El CaÃ±Ã³n,"(28.00222, -114.01083)",BS4207,62.47 km,BS3864,"(27.96336, -114.05208)",BS5871,"(27.48808, -113.30311)",BS3456,"(27.37276, -113.21481)"
El Chileno,"(30.07775, -115.72728)",BN5758,117.22 km,BN0146,"(30.15282, -115.79011)",BN4413,"(30.40335, -115.88834)",BN5762,"(30.44739, -115.88528)"
El Gato Dos,"(30.07775, -115.72728)",BN5758,136.50 km,BN0146,"(30.15282, -115.79011)",BN7136,"(30.91503, -114.72235)",BN5035,"(30.99206, -114.83380)"
El Junquito,"(30.44739, -115.88528)",BN5762,34.40 km,BN4413,"(30.40335, -115.88834)",BN4959,"(30.47212, -115.92231)",BN0127,"(30.51064, -115.92064)"
El NorteÃ±o,"(28.00222, -114.01083)",BS4207,110.25 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",—,—
El Potrero,"(30.75967, -115.98339)",BN7172,41.68 km,BN0679,"(30.77751, -116.00356)",BN3947,"(30.72964, -115.98975)",BN4499,"(30.76109, -116.00678)"
El Retiro,"(28.00222, -114.01083)",BS4207,39.58 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",—,—
El RincÃ³n,"(28.00222, -114.01083)",BS4207,115.65 km,BS0050,"(27.87727, -113.79778)",BS3864,"(27.96336, -114.05208)",BS1170,"(27.64259, -113.44306)"
El Zauzalito,"(30.07775, -115.72728)",BN5758,40.38 km,BN0146,"(30.15282, -115.79011)",—,—,—,—
El Ãguila,"(30.07775, -115.72728)",BN5758,73.97 km,BN0146,"(30.15282, -115.79011)",BN4413,"(30.40335, -115.88834)",BN5762,"(30.44739, -115.88528)"
Familia Delgado,"(28.00222, -114.01083)",BS4207,31.82 km,BS3864,"(27.96336, -114.05208)",—,—,—,—
La Colmena,"(28.00222, -114.01083)",BS4207,78.56 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",BS1170,"(27.64259, -113.44306)"
La Esperanza,"(30.07775, -115.72728)",BN5758,37.63 km,BN0146,"(30.15282, -115.79011)",—,—,—,—
La Fortuna [Mina],"(30.84821, -116.05146)",BN0395,35.00 km,BN0311,"(30.79889, -116.02454)",BN4499,"(30.76109, -116.00678)",BN3947,"(30.72964, -115.98975)"
La IlusiÃ³n,"(28.86132, -112.01575)",SO2616,106.85 km,BS1170,"(27.64259, -113.44306)",SO6448,"(28.84046, -111.96392)",SO0379,"(28.82272, -111.93654)"
La Victoria,"(30.07775, -115.72728)",BN5758,79.66 km,BN0146,"(30.15282, -115.79011)",BN7136,"(30.91503, -114.72235)",BN4413,"(30.40335, -115.88834)"
La Yegua [Rancho],"(30.15282, -115.79011)",BN0146,69.09 km,BN5762,"(30.44739, -115.88528)",BN4413,"(30.40335, -115.88834)",BN4959,"(30.47212, -115.92231)"
Las Cuatas [Rancho],"(28.00222, -114.01083)",BS4207,32.07 km,BS3864,"(27.96336, -114.05208)",—,—,—,—
Los Ãngeles,"(30.07775, -115.72728)",BN5758,67.72 km,BN0146,"(30.15282, -115.79011)",BN4413,"(30.40335, -115.88834)",BN5762,"(30.44739, -115.88528)"
Playa Tranquila [Campo],"(28.00222, -114.01083)",BS4207,123.16 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",SO2684,"(29.90803, -112.68386)"
Punta San Antonio,"(30.07775, -115.72728)",BN5758,36.95 km,BN0146,"(30.15282, -115.79011)",—,—,—,—
PurificaciÃ³n [Rancho],"(28.00222, -114.01083)",BS4207,98.40 km,BS3864,"(27.96336, -114.05208)",BS2901,"(27.29239, -112.91149)",BS1656,"(27.37922, -112.29972)"
Rancho Sonora,"(30.07775, -115.72728)",BN5758,88.49 km,BN0146,"(30.15282, -115.79011)",BN7136,"(30.91503, -114.72235)",BN4413,"(30.40335, -115.88834)"
San GermÃ¡n,"(28.00222, -114.01083)",BS4207,57.46 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",—,—
San HipÃ³lito,"(28.00222, -114.01083)",BS4207,33.08 km,BS3864,"(27.96336, -114.05208)",—,—,—,—
San Ignacito,"(28.00222, -114.01083)",BS4207,84.25 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",—,—
San Regis,"(28.00222, -114.01083)",BS4207,71.29 km,BS3864,"(27.96336, -114.05208)",BS0050,"(27.87727, -113.79778)",—,—
San Roque,"(30.07775, -115.72728)",BN5758,116.73 km,BN0146,"(30.15282, -115.79011)",BN7136,"(30.91503, -114.72235)",BN5035,"(30.99206, -114.83380)"
San Vicentillo [Rancho],"(30.07775, -115.72728)",BN5758,32.27 km,BN0146,"(30.15282, -115.79011)",—,—,—,—
Arroyo Grande (Ejido 16 de Septiembre),"(31.47778, -115.07000)",BN8355,42.90 km,BN8339,"(31.71689, -115.05208)",BN2370,"(31.20850, -114.93877)",—,—
Bello Horizonte [Campo],"(30.91503, -114.72235)",BN7136,32.76 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Campo Beluga,"(30.91503, -114.72235)",BN7136,132.43 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Campo Cadena,"(30.91503, -114.72235)",BN7136,30.79 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Campo Sacrificio,"(30.91503, -114.72235)",BN7136,136.09 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Cocos Corner Camping,"(30.07775, -115.72728)",BN5758,171.62 km,BN5035,"(30.99206, -114.83380)",BS3864,"(27.96336, -114.05208)",BN0435,"(31.01921, -114.83709)"
Conejo Feliz [Campo],"(30.91503, -114.72235)",BN7136,114.43 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
El Conquistador [KilÃ³metro Sesenta y Seis],"(30.91503, -114.72235)",BN7136,53.75 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
El Huerfanito [Campo],"(30.91503, -114.72235)",BN7136,88.68 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Familia Andrade,"(31.47778, -115.07000)",BN8355,43.63 km,BN2370,"(31.20850, -114.93877)",BN7177,"(31.12386, -114.90425)",BN0945,"(31.08890, -114.88858)"
Las Encantadas [Campo],"(30.91503, -114.72235)",BN7136,115.61 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Lidias [Campo],"(30.91503, -114.72235)",BN7136,38.71 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Octavios [Campo],"(30.91503, -114.72235)",BN7136,62.05 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
San Francisco [Campo],"(30.91503, -114.72235)",BN7136,36.91 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
Tanos [Campo],"(30.91503, -114.72235)",BN7136,89.93 km,BN5035,"(30.99206, -114.83380)",BN0435,"(31.01921, -114.83709)",BN0941,"(31.02192, -114.84980)"
La Escondida,"(26.89258, -111.98447)",BS4549,76.26 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",BS0014,"(27.18776, -112.24527)"
San AndrÃ©s,"(25.49053, -111.91989)",BS7167,37.58 km,BS7000,"(25.39718, -111.84670)",BS0235,"(25.93846, -111.36220)",BS0316,"(25.92079, -111.34930)"
La Casita,"(25.49053, -111.91989)",BS7167,36.10 km,BS7000,"(25.39718, -111.84670)",BS0235,"(25.93846, -111.36220)",BS0316,"(25.92079, -111.34930)"
El Saucito,"(25.49053, -111.91989)",BS7167,75.15 km,BS7000,"(25.39718, -111.84670)",BS0303,"(26.84844, -111.90300)",BS4549,"(26.89258, -111.98447)"
Valenzuela,"(25.71800, -111.23379)",BS3748,38.35 km,BS0421,"(25.20219, -111.55860)",BS8358,"(25.33639, -111.63917)",—,—
El Aguajito,"(26.84844, -111.90300)",BS0303,66.20 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS2385,"(25.99936, -111.36886)"
El Triunfo,"(24.69075, -111.51533)",BS6504,39.20 km,BS8355,"(24.92944, -111.62833)",BS0078,"(25.02516, -111.63202)",BS0225,"(25.03069, -111.63443)"
Agua Escondida,"(26.01975, -111.36000)",BS0148,68.91 km,BS2385,"(25.99936, -111.36886)",BS7180,"(26.90019, -111.97272)",BS1350,"(26.02022, -111.35112)"
El Infiernito,"(25.99936, -111.36886)",BS2385,52.56 km,BS0148,"(26.01975, -111.36000)",BS1350,"(26.02022, -111.35112)",BS0235,"(25.93846, -111.36220)"
El Jarillal,"(25.49053, -111.91989)",BS7167,35.23 km,BS7000,"(25.39718, -111.84670)",BS8358,"(25.33639, -111.63917)",BS0235,"(25.93846, -111.36220)"
Los Panales,"(26.84844, -111.90300)",BS0303,60.57 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS0148,"(26.01975, -111.36000)"
Santa MarÃ­a,"(26.01975, -111.36000)",BS0148,57.92 km,BS1350,"(26.02022, -111.35112)",BS5744,"(26.01192, -111.34119)",BS0235,"(25.93846, -111.36220)"
Los Tepetates,"(25.49053, -111.91989)",BS7167,32.96 km,BS7000,"(25.39718, -111.84670)",—,—,—,—
El CardÃ³n,"(26.89258, -111.98447)",BS4549,58.33 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",BS0014,"(27.18776, -112.24527)"
San Refugio,"(24.92944, -111.62833)",BS8355,33.39 km,BS0078,"(25.02516, -111.63202)",BS0225,"(25.03069, -111.63443)",BS2198,"(25.03503, -111.63889)"
Llano de la Perra,"(26.84844, -111.90300)",BS0303,58.58 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS0148,"(26.01975, -111.36000)"
La TravesÃ­a,"(26.89258, -111.98447)",BS4549,63.56 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",BS0014,"(27.18776, -112.24527)"
El Aparejo,"(25.99936, -111.36886)",BS2385,73.31 km,BS0148,"(26.01975, -111.36000)",BS1350,"(26.02022, -111.35112)",BS4549,"(26.89258, -111.98447)"
El DÃ¡til,"(26.84844, -111.90300)",BS0303,80.61 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS7167,"(25.49053, -111.91989)"
El LimÃ³n,"(26.84844, -111.90300)",BS0303,58.50 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS0148,"(26.01975, -111.36000)"
Paso Colorado,"(26.84844, -111.90300)",BS0303,64.24 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS0014,"(27.18776, -112.24527)"
Las Tres Palmas,"(25.49053, -111.91989)",BS7167,74.67 km,BS7000,"(25.39718, -111.84670)",BS0303,"(26.84844, -111.90300)",BS4549,"(26.89258, -111.98447)"
Camino Real,"(25.20219, -111.55860)",BS0421,31.75 km,BS8358,"(25.33639, -111.63917)",—,—,—,—
El Abanico Dos,"(26.89258, -111.98447)",BS4549,82.72 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",BS0014,"(27.18776, -112.24527)"
Piedra Pesada,"(26.84844, -111.90300)",BS0303,66.42 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS2385,"(25.99936, -111.36886)"
La Bocanita,"(27.37276, -113.21481)",BS3456,85.90 km,BS5871,"(27.48808, -113.30311)",BS1170,"(27.64259, -113.44306)",BS0062,"(27.64135, -113.40076)"
Campo Pachico,"(27.29239, -112.91149)",BS2901,52.75 km,BS3456,"(27.37276, -113.21481)",BS5871,"(27.48808, -113.30311)",—,—
San MartÃ­n,"(26.89258, -111.98447)",BS4549,48.72 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",BS0014,"(27.18776, -112.24527)"
El Zorrillo,"(26.89258, -111.98447)",BS4549,36.53 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",—,—
San RamÃ³n,"(27.37276, -113.21481)",BS3456,51.38 km,BS5871,"(27.48808, -113.30311)",BS1170,"(27.64259, -113.44306)",BS0062,"(27.64135, -113.40076)"
El HuÃ©rivo,"(27.18776, -112.24527)",BS0014,31.94 km,BS5751,"(27.33111, -112.26961)",BS0301,"(27.31967, -112.23878)",BS1656,"(27.37922, -112.29972)"
El VizcaÃ­no [Acueducto],"(27.64259, -113.44306)",BS1170,34.83 km,BS0062,"(27.64135, -113.40076)",BS0472,"(27.63280, -113.37650)",BS0050,"(27.87727, -113.79778)"
El Paso del Indio,"(26.89258, -111.98447)",BS4549,41.25 km,BS7180,"(26.90019, -111.97272)",BS0303,"(26.84844, -111.90300)",BS0014,"(27.18776, -112.24527)"
El Patrocinio,"(27.29239, -112.91149)",BS2901,54.05 km,BS0014,"(27.18776, -112.24527)",BS3456,"(27.37276, -113.21481)",—,—
Go Anda (Las Golondrinas),"(27.87727, -113.79778)",BS0050,85.36 km,BS4207,"(28.00222, -114.01083)",BS1170,"(27.64259, -113.44306)",BS0062,"(27.64135, -113.40076)"
El Mezquital Dos,"(27.18776, -112.24527)",BS0014,38.11 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",BS0301,"(27.31967, -112.23878)"
Buenavista,"(24.39908, -111.11575)",BS0426,57.27 km,BS8353,"(24.48875, -111.29436)",BS6502,"(24.20364, -110.94706)",BS6498,"(24.14264, -110.77739)"
San Rafael de los Inocentes,"(23.66249, -110.42181)",BS1299,30.31 km,BS3970,"(24.05667, -110.57424)",BS0145,"(23.79253, -110.30950)",BS6498,"(24.14264, -110.77739)"
La Fortuna,"(25.20219, -111.55860)",BS0421,69.78 km,BS0426,"(24.39908, -111.11575)",BS6504,"(24.69075, -111.51533)",BS0204,"(24.34630, -111.00151)"
La Cieneguita de Guadalupe,"(24.48875, -111.29436)",BS8353,36.63 km,BS6504,"(24.69075, -111.51533)",BS0426,"(24.39908, -111.11575)",BS0204,"(24.34630, -111.00151)"
HumÃ­,"(25.20219, -111.55860)",BS0421,73.65 km,BS6504,"(24.69075, -111.51533)",BS0204,"(24.34630, -111.00151)",BS0078,"(25.02516, -111.63202)"
El Paso de Encinas,"(24.48875, -111.29436)",BS8353,36.21 km,BS6504,"(24.69075, -111.51533)",BS0426,"(24.39908, -111.11575)",BS0204,"(24.34630, -111.00151)"
San Juanito Nuevo,"(24.48875, -111.29436)",BS8353,43.25 km,BS0426,"(24.39908, -111.11575)",BS6504,"(24.69075, -111.51533)",BS0204,"(24.34630, -111.00151)"
La Angostura,"(24.48875, -111.29436)",BS8353,62.07 km,BS0426,"(24.39908, -111.11575)",BS6504,"(24.69075, -111.51533)",BS0204,"(24.34630, -111.00151)"
