Comunidad,Punto actual más cercano,Distancia actual (km),Alternativas (dentro de +50%)
"(22.25949, -104.22556)","(22.30032, -103.55819)",74.43 km,"(21.98111, -103.58889) → 77.35 km; (21.98111, -103.58889) → 77.35 km; (22.88803, -103.48314) → 108.29 km; (21.66886, -104.84350) → 95.16 km; (22.44342, -103.50008) → 83.32 km; (21.66886, -104.84350) → 95.16 km; (23.07844, -104.54656) → 97.92 km"
"(18.33101, -102.49032)","(18.36263, -102.29986)",21.49 km,"(18.36263, -102.29986) → 21.49 km"
"(24.65803, -106.70532)","(24.41386, -106.69064)",27.23 km,"(24.38410, -106.69087) → 30.54 km"
"(28.06279, -109.77423)","(27.82269, -109.88428)",29.40 km,—
"(29.73360, -111.30911)","(29.76689, -111.05955)",28.03 km,"(29.76689, -111.05955) → 28.03 km; (29.61267, -111.02581) → 34.29 km"
"(30.88569, -111.09312)","(30.88591, -110.85463)",26.55 km,—
"(25.53905, -98.57111)","(25.61147, -98.41767)",18.89 km,"(25.33256, -98.65507) → 24.81 km"
"(21.27509, -88.41282)","(21.29722, -88.27311)",15.75 km,—
"(21.61997, -102.80724)","(21.77284, -102.79620)",17.06 km,"(21.54043, -102.59549) → 25.18 km"
"(30.67166, -115.13555)","(30.99206, -114.83380)",48.99 km,—
"(26.94346, -112.30402)","(27.18776, -112.24527)",27.97 km,—
"(30.25879, -105.77995)","(29.96284, -106.14192)",52.05 km,—
"(26.69181, -106.57472)","(26.95484, -106.34788)",38.66 km,"(26.83303, -107.07060) → 57.40 km; (26.81174, -107.07233) → 56.98 km"
"(21.97369, -104.08551)","(21.98111, -103.58889)",55.29 km,"(22.30032, -103.55819) → 69.05 km; (22.30032, -103.55819) → 69.05 km; (21.50249, -103.55792) → 78.75 km; (22.30032, -103.55819) → 69.05 km"
"(21.51692, -103.76128)","(21.50249, -103.55792)",22.69 km,—
"(18.21885, -102.67727)","(18.07419, -102.75777)",18.43 km,—
"(18.45820, -103.15157)","(18.77230, -103.16224)",34.99 km,"(18.78103, -103.16914) → 35.99 km; (18.60000, -103.50139) → 42.02 km; (18.78103, -103.16914) → 35.99 km; (18.78103, -103.16914) → 35.99 km"
"(18.61887, -103.18534)","(18.77230, -103.16224)",17.27 km,"(18.78103, -103.16914) → 18.14 km; (18.78103, -103.16914) → 18.14 km; (18.78103, -103.16914) → 18.14 km"
"(21.77422, -100.20845)","(21.82567, -100.03883)",19.73 km,"(21.82567, -100.03883) → 19.73 km; (21.82567, -100.03883) → 19.73 km"
"(23.63090, -109.92790)","(23.73038, -109.83045)",15.50 km,—
"(26.95213, -103.45720)","(27.02522, -103.36592)",13.02 km,—
"(28.05207, -108.65247)","(28.16097, -108.57019)",15.19 km,—
"(22.15451, -104.04575)","(21.98111, -103.58889)",54.40 km,"(22.30032, -103.55819) → 56.65 km; (22.30032, -103.55819) → 56.65 km; (22.44342, -103.50008) → 68.73 km; (22.30032, -103.55819) → 56.65 km"
"(18.71198, -103.31725)","(18.78103, -103.16914)",18.19 km,"(18.77230, -103.16224) → 18.52 km; (18.77230, -103.16224) → 18.52 km; (18.77230, -103.16224) → 18.52 km; (18.60000, -103.50139) → 23.99 km; (18.77230, -103.16224) → 18.52 km"
"(21.23614, -87.08796)","(21.22172, -86.92207)",18.54 km,—
"(21.69808, -100.12843)","(21.82567, -100.03883)",17.36 km,—
"(23.94124, -97.83420)","(24.02258, -97.94347)",15.16 km,—
"(24.66493, -111.19701)","(24.48875, -111.29436)",22.41 km,—
"(15.98441, -93.32882)","(15.87489, -93.46769)",19.69 km,"(16.21912, -93.27722) → 26.75 km; (16.16177, -93.26502) → 20.98 km"
"(26.81326, -107.26936)","(26.81886, -107.08142)",20.93 km,"(26.83303, -107.07060) → 22.24 km; (26.81174, -107.07233) → 21.93 km"
"(28.09749, -107.59167)","(27.98028, -107.59718)",13.06 km,—
"(27.97632, -108.13658)","(27.87114, -108.21967)",14.92 km,—
"(18.80635, -102.45542)","(18.94427, -102.29820)",23.28 km,—
"(21.38560, -87.72259)","(21.40206, -87.87897)",17.50 km,—
"(25.07247, -111.16683)","(25.20219, -111.55860)",45.94 km,"(24.48875, -111.29436) → 66.51 km"
"(16.10127, -93.54057)","(16.01341, -93.67243)",17.64 km,"(16.09128, -93.74629) → 22.93 km"
"(25.51459, -98.75831)","(25.33256, -98.65507)",23.30 km,"(25.63269, -99.04006) → 34.01 km"
"(16.21616, -98.18662)","(16.32128, -98.25697)",14.08 km,—
"(20.54158, -98.19346)","(20.39985, -98.19993)",15.79 km,—
"(27.59414, -101.99391)","(27.32269, -102.40043)",54.42 km,"(27.04400, -101.79394) → 65.16 km; (27.98296, -101.42510) → 76.70 km"
"(18.18525, -102.64731)","(18.07419, -102.75777)",17.44 km,—
"(24.27648, -106.48488)","(24.38410, -106.69087)",25.87 km,"(24.41386, -106.69064) → 27.54 km"
"(21.45506, -102.98003)","(21.48379, -103.09256)",12.93 km,"(21.37608, -102.85045) → 16.89 km; (21.37608, -102.85045) → 16.89 km"
"(26.43227, -106.36928)","(26.04211, -106.50761)",46.08 km,"(26.95484, -106.34788) → 58.22 km; (26.95484, -106.34788) → 58.22 km"
"(23.25819, -105.26714)","(23.77339, -105.35650)",58.21 km,"(22.63707, -105.31837) → 69.38 km; (23.81039, -105.54583) → 68.86 km; (23.07844, -104.54656) → 82.67 km; (23.70194, -105.57852) → 60.35 km; (23.42616, -105.85934) → 68.52 km"
"(18.07869, -101.27723)","(17.92179, -101.32309)",18.20 km,—
"(18.97740, -103.06469)","(19.05362, -102.87138)",23.13 km,"(18.77230, -103.16224) → 25.28 km; (18.77230, -103.16224) → 25.28 km; (18.77230, -103.16224) → 25.28 km; (18.78103, -103.16914) → 24.76 km; (19.18717, -102.85100) → 33.33 km; (18.77230, -103.16224) → 25.28 km; (18.78103, -103.16914) → 24.76 km; (18.78103, -103.16914) → 24.76 km"
"(26.81227, -105.24960)","(26.74056, -105.15806)",12.95 km,—
"(19.96581, -104.96557)","(19.95192, -105.23999)",30.59 km,—
"(20.55940, -98.21669)","(20.39985, -98.19993)",17.86 km,—
"(19.15126, -101.31203)","(19.20737, -101.43131)",14.67 km,"(19.05797, -101.40989) → 15.05 km; (19.05797, -101.40989) → 15.05 km; (19.05797, -101.40989) → 15.05 km"
"(26.78005, -107.84898)","(27.02892, -107.73714)",30.37 km,—
"(23.04644, -103.71818)","(22.88803, -103.48314)",31.55 km,—
"(18.56874, -103.29516)","(18.60000, -103.50139)",23.22 km,"(18.77230, -103.16224) → 27.06 km; (18.77230, -103.16224) → 27.06 km; (18.77230, -103.16224) → 27.06 km; (18.78103, -103.16914) → 27.48 km; (18.77230, -103.16224) → 27.06 km; (18.78103, -103.16914) → 27.48 km; (18.78103, -103.16914) → 27.48 km"
"(17.14251, -95.52178)","(17.03017, -95.44633)",15.06 km,—
"(19.15174, -101.05049)","(19.42400, -100.90378)",34.43 km,"(19.05797, -101.40989) → 41.35 km; (19.05797, -101.40989) → 41.35 km; (19.20737, -101.43131) → 42.84 km; (19.05797, -101.40989) → 41.35 km; (19.42190, -101.21420) → 35.16 km"
"(18.92644, -101.21245)","(19.05797, -101.40989)",26.41 km,—
"(25.28743, -107.40063)","(25.36352, -107.55186)",18.85 km,—
"(25.22669, -100.18232)","(25.34293, -100.18366)",12.94 km,—
"(16.17937, -95.48901)","(16.09892, -95.37592)",15.45 km,"(16.27492, -95.30411) → 23.17 km"
"(25.60149, -107.07306)","(25.47913, -106.93961)",20.15 km,"(25.46960, -106.92968) → 21.69 km"
"(23.44880, -103.91677)","(23.62142, -103.92367)",19.23 km,—
"(16.90824, -94.07114)","(17.16381, -94.14623)",29.65 km,"(17.20772, -94.20067) → 36.32 km"
"(30.13658, -108.67982)","(30.12656, -108.91421)",26.12 km,—
"(18.14718, -96.65356)","(18.14553, -96.51063)",15.91 km,"(18.14553, -96.51063) → 15.91 km; (18.12167, -96.84176) → 21.14 km"
"(26.10894, -107.87108)","(25.79969, -107.87472)",34.43 km,—
"(19.29072, -101.16670)","(19.42190, -101.21420)",15.53 km,—
"(26.70834, -108.07094)","(26.71148, -108.32373)",28.14 km,—
"(21.82158, -104.56901)","(21.66886, -104.84350)",34.97 km,—
"(22.79290, -105.35395)","(22.63707, -105.31837)",17.79 km,—
"(18.62678, -103.29700)","(18.77230, -103.16224)",22.08 km,"(18.78103, -103.16914) → 22.30 km; (18.60000, -103.50139) → 22.95 km; (18.78103, -103.16914) → 22.30 km; (18.78103, -103.16914) → 22.30 km"
"(19.99002, -88.90104)","(20.10921, -88.91830)",13.41 km,—
"(18.22730, -102.72821)","(18.07419, -102.75777)",17.36 km,—
"(18.95815, -103.36652)","(18.78103, -103.16914)",29.52 km,"(18.77230, -103.16224) → 30.74 km; (18.77230, -103.16224) → 30.74 km; (18.77230, -103.16224) → 30.74 km; (19.09501, -103.62072) → 32.14 km; (18.60000, -103.50139) → 42.60 km; (18.77230, -103.16224) → 30.74 km"
"(18.88898, -103.30230)","(18.78103, -103.16914)",19.08 km,"(18.77230, -103.16224) → 20.29 km; (18.77230, -103.16224) → 20.29 km; (18.77230, -103.16224) → 20.29 km; (18.77230, -103.16224) → 20.29 km"
"(16.56223, -97.39206)","(16.59472, -97.22269)",19.20 km,—
"(21.03350, -99.68097)","(21.13672, -99.62731)",12.95 km,—
"(17.56329, -93.96768)","(17.69385, -93.91600)",15.63 km,—
"(24.01187, -102.43264)","(23.80831, -102.47347)",23.11 km,—
"(16.95489, -97.45231)","(17.03194, -97.57158)",15.81 km,—
"(21.84443, -104.79899)","(21.66886, -104.84350)",20.16 km,—
"(24.19434, -102.97905)","(23.99560, -103.02164)",22.63 km,—
"(27.62513, -108.28204)","(27.87114, -108.21967)",28.25 km,"(27.39202, -108.42094) → 30.21 km; (27.39202, -108.42094) → 30.21 km"
"(20.23811, -105.57533)","(20.42591, -105.45576)",24.78 km,—
"(27.08323, -107.93084)","(27.02892, -107.73714)",22.39 km,—
"(24.12284, -105.70145)","(23.81039, -105.54583)",38.86 km,"(23.77339, -105.35650) → 54.66 km; (23.70194, -105.57852) → 48.81 km"
"(16.26553, -91.66657)","(16.15140, -91.64609)",12.91 km,"(16.14011, -91.57363) → 17.38 km"
"(24.02848, -110.13711)","(24.02295, -110.27035)",14.85 km,—
"(26.24379, -106.94664)","(26.09427, -106.96368)",16.75 km,"(26.08042, -106.95358) → 18.20 km; (26.08042, -106.95358) → 18.20 km"
"(25.25101, -106.89774)","(25.46960, -106.92968)",24.59 km,"(25.47913, -106.93961) → 25.82 km"
"(28.12266, -107.46300)","(28.28053, -107.40531)",18.71 km,"(27.98028, -107.59718) → 21.78 km; (28.28053, -107.40531) → 18.71 km"
"(26.30294, -106.68165)","(26.04211, -106.50761)",34.91 km,"(26.08042, -106.95358) → 39.11 km; (26.08042, -106.95358) → 39.11 km; (26.09427, -106.96368) → 39.06 km; (26.09427, -106.96368) → 39.06 km"
"(17.83270, -90.60113)","(17.99767, -90.40651)",28.40 km,—
"(18.23994, -100.10089)","(18.41900, -100.07461)",20.15 km,—
"(26.48687, -107.73686)","(26.42989, -107.26740)",52.64 km,"(27.02892, -107.73714) → 60.34 km; (25.79969, -107.87472) → 78.02 km; (26.71148, -108.32373) → 69.95 km; (27.02892, -107.73714) → 60.34 km; (27.02892, -107.73714) → 60.34 km; (27.02892, -107.73714) → 60.34 km"
"(17.80348, -101.43536)","(17.92179, -101.32309)",18.16 km,"(17.63135, -101.46812) → 19.51 km"
"(25.23206, -100.24923)","(25.34293, -100.18366)",14.34 km,—
"(18.20998, -91.80189)","(18.07518, -91.61198)",25.92 km,"(18.21574, -91.50777) → 32.75 km; (17.94179, -91.73489) → 30.77 km; (18.20453, -91.53619) → 29.58 km"
"(27.06832, -107.97688)","(27.02892, -107.73714)",27.05 km,—
"(19.57606, -102.84620)","(19.42826, -102.66515)",26.02 km,"(19.89250, -102.83136) → 35.26 km; (19.42826, -102.66515) → 26.02 km"
"(22.40556, -103.89139)","(22.30032, -103.55819)",38.90 km,"(21.98111, -103.58889) → 58.02 km; (21.98111, -103.58889) → 58.02 km; (22.44342, -103.50008) → 43.76 km"
"(24.70196, -106.32970)","(25.05276, -106.33673)",39.06 km,"(24.41386, -106.69064) → 51.41 km; (24.38410, -106.69087) → 53.56 km"
"(15.32618, -92.42163)","(15.36617, -92.31261)",12.93 km,—
"(22.68767, -104.46010)","(23.07844, -104.54656)",44.55 km,—
"(27.25302, -107.97613)","(27.49563, -107.89174)",28.59 km,"(27.56078, -107.81781) → 38.53 km; (27.56078, -107.81781) → 38.53 km; (27.02892, -107.73714) → 36.47 km; (27.02892, -107.73714) → 36.47 km; (27.02892, -107.73714) → 36.47 km; (27.02892, -107.73714) → 36.47 km"
"(19.89496, -104.94205)","(19.95192, -105.23999)",33.77 km,—
"(26.16447, -107.15409)","(26.09427, -106.96368)",22.59 km,"(26.08042, -106.95358) → 24.20 km; (26.08042, -106.95358) → 24.20 km; (26.42989, -107.26740) → 32.13 km; (26.42989, -107.26740) → 32.13 km"
"(18.33763, -101.05598)","(18.47569, -100.97771)",17.67 km,"(18.24280, -100.89106) → 21.18 km"
"(18.27577, -101.08060)","(18.24280, -100.89106)",21.42 km,"(18.47569, -100.97771) → 25.03 km"
"(23.38971, -105.37983)","(23.70194, -105.57852)",41.20 km,"(23.77339, -105.35650) → 42.79 km; (23.81039, -105.54583) → 50.34 km; (23.42616, -105.85934) → 53.53 km"
"(29.87928, -107.78583)","(29.71342, -107.81108)",18.68 km,—
"(27.28052, -107.20012)","(27.30113, -107.54361)",38.31 km,"(26.83303, -107.07060) → 51.86 km; (26.81886, -107.08142) → 53.06 km; (26.81174, -107.07233) → 54.09 km"
"(17.12583, -91.92239)","(17.19214, -92.05654)",16.66 km,—
"(23.32104, -105.65051)","(23.42616, -105.85934)",26.03 km,—
"(27.83845, -106.56553)","(27.88042, -106.68681)",14.29 km,—
"(17.32318, -97.31807)","(17.45872, -97.28955)",15.42 km,—
"(17.22834, -96.28980)","(17.18613, -96.17910)",13.19 km,"(17.18613, -96.17910) → 13.19 km"
"(20.62875, -98.10819)","(20.52467, -97.93992)",22.03 km,"(20.39985, -98.19993) → 27.45 km; (20.39985, -98.19993) → 27.45 km; (20.39985, -98.19993) → 27.45 km"
"(24.34612, -102.94604)","(24.63264, -102.77866)",36.94 km,"(23.99560, -103.02164) → 39.92 km"
"(17.56758, -95.91980)","(17.70114, -95.81059)",19.21 km,—
